loss,values
9.241215,0.11234872
9.058247,-0.008460503
8.754856,0.09593518
8.526269,1.6656705
9.027061,1.96925
9.071739,2.275588
8.519259,2.5247052
8.859605,2.8024998
8.660924,3.025449
8.429802,3.263749
8.141012,3.5101995
8.972912,3.7486608
8.528746,3.9874303
8.377598,4.208982
8.735212,4.4520917
8.051007,4.684865
8.384893,4.920491
8.969682,5.1779118
8.60671,5.4457636
8.9841795,5.687921
9.013621,5.957939
8.57487,6.1939545
8.6109495,6.4888787
8.622093,6.777541
8.493969,7.0710573
8.485415,7.3491273
8.527252,7.662275
8.399025,7.9825554
8.268447,8.299776
8.321104,8.602316
8.345072,8.944709
8.387153,9.317979
8.159431,9.674018
8.267929,10.071484
8.441362,10.384536
8.194346,10.79983
8.631622,11.182906
8.384277,11.595879
8.250349,12.000522
8.724009,12.413681
8.306061,12.859107
8.719427,13.289003
8.755509,13.757883
8.708374,14.235426
8.262537,14.674966
8.598511,15.17794
8.308471,15.6789875
9.254292,16.171795
8.555056,16.691183
8.291971,17.201717
8.586498,17.762613
8.966269,18.299028
9.131336,18.863611
8.54535,19.433289
8.71356,19.980545
8.427835,20.554022
8.557587,21.13067
8.3168335,21.731144
8.286772,22.333961
8.210278,22.903067
8.871246,23.51775
8.546529,24.128935
8.195616,24.735699
8.09456,25.351048
8.999015,25.96405
8.860638,26.57104
8.742951,27.22452
8.29323,27.856445
8.508636,28.505949
8.348785,29.118626
8.853394,29.720583
8.911285,30.368069
8.915161,31.013882
8.99303,31.61604
8.898006,32.280846
8.511353,32.91744
8.195459,33.539433
8.785925,34.18066
8.603546,34.808014
8.845144,35.450497
8.266571,36.069942
8.411167,36.682426
9.143372,37.297005
8.472596,37.927437
8.830505,38.548286
8.578787,39.174313
7.8149414,39.785202
8.431763,40.418163
7.968292,41.02563
8.626891,41.657993
8.284723,42.264397
8.054779,42.853836
7.923218,43.463184
8.377965,44.073162
7.4516296,44.668896
8.059692,45.259026
8.456568,45.85344
8.29534,46.418396
8.645172,46.993538
8.045319,47.568382
8.368383,48.13846
9.198891,48.694046
8.3871155,49.244965
8.205624,49.800545
8.046479,50.357586
7.944194,50.894867
8.3119,51.452255
8.497131,51.99817
8.534821,52.54829
8.388119,53.09619
8.553343,53.618332
8.113129,54.139946
8.77243,54.657295
8.350889,55.17314
8.8466625,55.704315
8.140666,56.229412
8.207275,56.747982
8.277557,57.2616
8.572061,57.76674
8.234774,58.282936
7.4901733,58.801525
8.532837,59.30678
8.504591,59.811115
7.7469106,60.31993
8.069519,60.815773
8.208923,61.328995
8.201233,61.823204
8.236675,62.32234
8.102936,62.81801
8.459311,63.34025
8.080637,63.84175
8.242206,64.33003
8.72702,64.82933
8.245771,65.31908
8.430969,65.809296
8.723568,66.29843
8.852753,66.795425
8.474274,67.28456
8.06746,67.77098
7.8842163,68.26169
8.407837,68.74425
8.58493,69.23624
8.6551285,69.71558
8.282892,70.208145
8.555298,70.698364
7.8568115,71.19084
8.587056,71.6759
8.136353,72.16974
9.294281,72.64484
8.624573,73.14165
8.365257,73.63856
8.318888,74.13167
9.14267,74.612915
8.260864,75.101944
8.353638,75.58249
8.6229515,76.06781
7.9904785,76.5433
8.458479,77.024734
8.602341,77.51023
8.843689,77.99308
8.483842,78.48213
8.530287,78.95526
8.334845,79.4414
8.27371,79.9306
7.917633,80.42224
8.456879,80.91601
7.9509773,81.40399
8.342952,81.89241
8.887909,82.36427
8.335655,82.841705
8.67218,83.33757
8.458239,83.8354
8.576935,84.316864
8.477474,84.80194
7.886017,85.267075
8.030861,85.75127
8.52359,86.236465
8.114471,86.72592
8.545709,87.22466
7.898523,87.70999
9.229401,88.190704
8.751984,88.66465
9.038727,89.15461
8.475924,89.651
8.183411,90.142456
7.7342005,90.62339
8.51605,91.09837
8.552351,91.584274
8.278666,92.06602
8.137731,92.53953
8.449808,93.0249
8.675293,93.50665
8.072327,94.00474
8.349518,94.48837
8.153503,94.973915
8.5425,95.46304
8.649139,95.96208
8.788645,96.449646
7.5474854,96.92964
8.561495,97.41222
8.851624,97.89743
8.208801,98.38017
8.0570545,98.86657
8.06213,99.34822
7.935937,99.828705
8.447327,100.30633
8.697144,100.80241
8.707016,101.28929
8.191925,101.78086
8.077576,102.26638
8.215149,102.75459
8.126251,103.239426
8.461792,103.73456
8.361542,104.21744
8.781658,104.69968
8.670597,105.20033
8.717285,105.68834
8.597683,106.184616
7.821472,106.670425
8.258514,107.137375
8.8941345,107.6062
8.536638,108.10036
7.8237915,108.57648
8.356598,109.07469
8.467804,109.55929
8.466095,110.04934
8.267981,110.53119
7.9691467,111.021706
8.305044,111.51427
9.075928,112.00168
8.210449,112.488945
8.003296,112.97888
8.01181,113.468124
8.6034355,113.95337
8.592499,114.44428
7.984762,114.926285
8.47465,115.41144
8.498535,115.89862
8.019057,116.37891
7.9513855,116.87721
7.9237976,117.35704
8.183105,117.84069
